Date,Count(day),Block Size(B),Block Size(MB),Block Interval(w),Average transaction size(B),TPS,Static Scheme,Block Interval(s),Count,TPSN,Static SchemeN
2014/9/1,19961,15761408,8,4,200,20971.52,20382.30311,2,13.86180556,14.56355556,14.15437716
2014/9/2,28831,17731584,9,3,200,31457.28,21141.20398,1.5,20.02152778,21.84533333,14.68139165
2014/9/3,32631,15761408,8,2,200,41943.04,21296.36137,1,22.66041667,29.12711111,14.78913984
2014/9/4,38360,15761408,8,2,200,41943.04,23100.10667,1,26.63888889,29.12711111,16.04174074
2014/9/5,42319,17731584,9,2,200,47185.92,24401.59969,1,29.38819444,32.768,16.94555534
2014/9/6,40520,17731584,9,2,200,47185.92,25048.89061,1,28.13888889,32.768,17.39506292
2014/9/7,30134,11821056,6,2,200,31457.28,25136.17303,1,20.92638889,21.84533333,17.45567572
2014/9/8,30360,11821056,6,2,200,31457.28,25233.68334,1,21.08333333,21.84533333,17.52339121
2014/9/9,34560,13791232,7,2,200,36700.16,25429.64321,1,24,25.48622222,17.65947445
2014/9/10,35910,13791232,7,2,200,36700.16,25959.43615,1,24.9375,25.48622222,18.02738622
2014/9/11,36439,13791232,7,2,200,36700.16,28224.39467,1,25.30486111,25.48622222,19.60027408
2014/9/12,39540,15761408,8,2,200,41943.04,28939.04008,1,27.45833333,29.12711111,20.09655561
2014/9/13,43205,19701760,10,2,200,52428.8,29833.69933,1,30.00347222,36.40888889,20.71784676
2014/9/14,28122,11821056,6,2,200,31457.28,29877.65711,1,19.52916667,21.84533333,20.74837299
2014/9/15,29454,11821056,6,2,200,31457.28,30296.81955,1,20.45416667,21.84533333,21.03945802
2014/9/16,36092,13791232,7,2,200,36700.16,30549.76029,1,25.06388889,25.48622222,21.21511131
2014/9/17,35531,13791232,7,2,200,36700.16,31055.36622,1,24.67430556,25.48622222,21.56622654
2014/9/18,40274,15761408,8,2,200,41943.04,31653.20457,1,27.96805556,29.12711111,21.98139206
2014/9/19,41017,17731584,9,2,200,47185.92,32787.78805,1,28.48402778,32.768,22.76929726
2014/9/20,38864,15761408,8,2,200,41943.04,33915.7038,1,26.98888889,29.12711111,23.55257208
2014/9/21,28620,11821056,6,2,200,31457.28,33953.48835,1,19.875,21.84533333,23.57881135
2014/9/22,28312,11821056,6,2,200,31457.28,34211.70789,1,19.66111111,21.84533333,23.75813048
2014/9/23,30316,11821056,6,2,200,31457.28,34504.53965,1,21.05277778,21.84533333,23.96148587
2014/9/24,31301,13791232,7,2,200,36700.16,35408.10719,1,21.73680556,25.48622222,24.58896333
2014/9/25,38203,15761408,8,2,200,41943.04,36114.16046,1,26.52986111,29.12711111,25.0792781
2014/9/26,37504,15761408,8,2,200,41943.04,37132.68272,1,26.04444444,29.12711111,25.78658522
2014/9/27,39468,15761408,8,2,200,41943.04,37952.80793,1,27.40833333,29.12711111,26.35611662
2014/9/28,29656,11821056,6,2,200,31457.28,39171.75798,1,20.59444444,21.84533333,27.20260971
2014/9/29,29201,11821056,6,2,200,31457.28,39366.92428,1,20.27847222,21.84533333,27.33814186
2014/9/30,33431,13791232,7,2,200,36700.16,40000.3025,1,23.21597222,25.48622222,27.77798785
