Date,Block Size(B),Average transaction size(B),Static Scheme,Block Interval(s),Block Interval(w),Block Size(MB),Transaction Count,TPS,Count,TPSN,Static SchemeN
2023/1/1,2097152,200,2720,3,4,2,4109,5242.88,2.853472222,3.640888889,1.888888889
2023/1/2,2097152,200,2800,2.5,5,2,3836,4194.304,2.663888889,2.912711111,1.944444444
2023/1/3,2097152,200,2820,2.5,5,2,3893,4194.304,2.703472222,2.912711111,1.958333333
2023/1/4,3145728,200,2900,3.5,7,3,3900,4493.897143,2.708333333,3.120761905,2.013888889
2023/1/5,3145728,200,2940,3,6,3,4162,5242.88,2.890277778,3.640888889,2.041666667
2023/1/6,2097152,200,3050,2.5,5,2,3874,4194.304,2.690277778,2.912711111,2.118055556
2023/1/7,3145728,200,3160,4,5,2,3727,4194.304,2.588194444,2.912711111,2.194444444
2023/1/8,3145728,200,3200,4,8,3,3716,3932.16,2.580555556,2.730666667,2.222222222
2023/1/9,3145728,200,3350,3.5,7,3,3885,4493.897143,2.697916667,3.120761905,2.326388889
2023/1/10,3145728,200,3430,4,8,3,3695,3932.16,2.565972222,2.730666667,2.381944444
2023/1/11,3145728,200,3500,4,8,3,3684,3932.16,2.558333333,2.730666667,2.430555556
2023/1/12,5242880,200,3610,3.5,7,3,3877,4493.897143,2.692361111,3.120761905,2.506944444
2023/1/13,5242880,200,3710,3.5,7,3,3824,4493.897143,2.655555556,3.120761905,2.576388889
2023/1/14,4194304,200,3930,2.5,5,2,3648,4194.304,2.533333333,2.912711111,2.729166667
2023/1/15,5242880,200,4040,4,5,2,3987,4194.304,2.76875,2.912711111,2.805555556
2023/1/16,4194304,200,4150,3.5,7,3,3716,4493.897143,2.580555556,3.120761905,2.881944444
2023/1/17,5242880,200,4260,4,8,3,3809,3932.16,2.645138889,2.730666667,2.958333333
2023/1/18,5242880,200,4370,2.5,5,2,3871,4194.304,2.688194444,2.912711111,3.034722222
2023/1/19,4194304,200,4480,2.5,5,2,3823,4194.304,2.654861111,2.912711111,3.111111111
2023/1/20,6291456,200,4590,3.5,7,3,4002,4493.897143,2.779166667,3.120761905,3.1875
2023/1/21,5242880,200,4690,3.5,7,3,3975,4493.897143,2.760416667,3.120761905,3.256944444
2023/1/22,6291456,200,4691,2.5,5,2,3947,4194.304,2.740972222,2.912711111,3.257638889
2023/1/23,6291456,200,4690,2.5,5,2,3944,4194.304,2.738888889,2.912711111,3.256944444
2023/1/24,5242880,200,4700,3.5,7,3,3813,4493.897143,2.647916667,3.120761905,3.263888889
2023/1/25,6291456,200,4694,4,8,3,3647,3932.16,2.532638889,2.730666667,3.259722222
2023/1/26,5242880,200,4698,4,8,3,3795,3932.16,2.635416667,2.730666667,3.2625
2023/1/27,6291456,200,4700,3.5,7,3,3914,4493.897143,2.718055556,3.120761905,3.263888889
2023/1/28,5242880,200,4697,2.5,5,2,4097,4194.304,2.845138889,2.912711111,3.261805556
2023/1/29,5242880,200,4710,2,4,2,4032,5242.88,2.8,3.640888889,3.270833333
2023/1/30,5242880,200,4699,3,6,3,4110,5242.88,2.854166667,3.640888889,3.263194444
2023/1/31,5242880,200,4700,3.5,7,3,3913,4493.897143,2.717361111,3.120761905,3.263888889
